"likes","page_name","video_length","total_interactions","post_views"
3297,"DW Euromaxx","00:00:24","804",6229
3288,"DW Bundesliga Kick off","00:00:10","1,099",8360
3265,"DW Music","00:00:39","1,088",102144
3241,"DW Culture","00:00:41","661",19692
3199,"DW Travel","00:00:06","721",3517
3192,"DW Culture","00:00:42","4,120",438541
3178,"DW Euromaxx","00:00:30","643",19728
3150,"DW Travel","00:00:10","840",5049
3042,"DW Travel","00:00:15","736",7334
3017,"DW Travel","00:00:41","870",3103
3010,"DW Travel","00:00:11","538",7751
2926,"DW Culture","00:00:35","733",10456
2891,"DW Euromaxx","00:00:26","580",10309
2891,"DW Travel","00:00:11","776",7235
2891,"DW News","00:00:38","1,130",17630
2877,"DW News","00:00:44","1,502",26771
2870,"DW News","00:00:38","1,217",27802
2870,"DW Travel","00:00:31","495",3984
2870,"DW Travel","00:00:09","668",4123
2856,"DW Bundesliga Kick off","00:00:23","661",6452
2849,"DW Music","00:00:33","673",34025
2844,"DW Travel","00:00:19","769",3391
2821,"FRANCE 24","00:00:46","658",19954
2807,"DW Travel","00:00:09","529",4959
2737,"DW Travel","00:00:24","654",4510
2723,"DW Travel","00:00:05","758",5015
2688,"DW Euromaxx","00:00:45","618",8005
2681,"RTP","00:00:37","601",26211
2665,"DW Business","00:00:35","789",8677
2636,"DW Culture","00:00:47","4,013",80099
2629,"DW Culture","00:00:30","3,270",53733
2604,"DW Euromaxx","00:00:32","543",14278
2569,"DW Euromaxx","00:00:23","796",6040
2548,"DW Culture","00:00:43","567",10543
2540,"DW Culture","00:00:35","848",11383
2534,"DW Culture","00:00:33","509",14051
2506,"FRANCE 24","00:00:50","684",30741
2485,"DW Reise","00:00:13","466",11054
2478,"DW Reise","00:00:10","543",14964
2464,"DW Travel","00:00:08","445",3873
2457,"FRANCE 24","00:00:45","808",34053
2450,"DW Euromaxx","00:00:34","595",9044
2401,"DW Culture","00:00:30","474",104116
2394,"DW Euromaxx","00:00:48","652",12818
2388,"DW Travel","00:00:25","709",7493
2387,"DW Culture","00:00:26","607",5663
2380,"DW News","00:00:43","669",8712
2331,"DW Euromaxx","00:00:39","480",5467
2296,"Onet","00:00:47","505",6574
2289,"DW Culture","00:00:31","412",36355
2282,"DW News","00:00:37","667",9411
2250,"DW Travel","00:00:10","498",5540
2249,"DW Culture","00:00:42","3,283",36364
2247,"DW News","00:00:46","826",8539
2240,"DW News","00:00:30","562",26452
2226,"DW Business","00:00:46","513",48377
2214,"DW Travel","00:00:10","578",3006
2212,"DW Culture","00:00:38","557",4006
2212,"DW Euromaxx","00:00:42","465",7495
2206,"DW Culture","00:00:33","2,682",33618
2192,"DW Reise","00:00:14","1,358",60041
2191,"DW News","00:00:46","818",9747
2184,"DW Travel","00:00:48","564",2759
2170,"DW Music","00:00:35","404",37061
2163,"DW News","00:00:41","538",28462
2161,"DW Culture","00:00:33","2,617",32733
2156,"DW Culture","00:00:43","603",3226
2142,"DW Culture","00:00:26","492",4733
2138,"DW Culture","00:00:33","2,590",32508
2124,"DW Travel","00:00:23","450",6215
2121,"FRANCE 24","00:00:39","374",7699
2120,"DW Euromaxx","00:00:43","978",8160
2107,"DW News","00:00:04","653",7045
2100,"FRANCE 24","00:00:25","615",23716
2086,"DW Euromaxx","00:00:30","441",36523
2081,"DW Culture","00:00:33","2,523",31930
2072,"DW Culture","00:00:23","676",4030
2072,"DW Euromaxx","00:00:32","420",6959
2051,"DW News","00:00:49","799",18483
2051,"DW Bundesliga Kick off","00:00:27","449",4340
2044,"FRANCE 24","00:00:50","384",8987
2034,"DW Culture","00:00:33","2,470",31527
2030,"DW Euromaxx","00:00:38","395",24969
2024,"DW Travel","00:00:08","625",11855
2016,"DW News","00:00:30","578",9306
2016,"FRANCE 24 English","00:00:36","1,229",67002
2016,"DW Bundesliga Kick off","00:00:10","565",3638
2014,"DW Culture","00:00:33","2,440",31308
2009,"DW Travel","00:00:34","480",6602
1995,"DW Euromaxx","00:00:37","363",68860
1986,"FRANCE 24","00:00:49","383",4479
1981,"DW Euromaxx","00:00:47","397",16369
1976,"DW Culture","00:00:32","2,445",82987
1974,"FRANCE 24","00:00:44","477",13476
1964,"DW Euromaxx","00:00:31","1,180",303265
1958,"DW Culture","00:00:33","2,367",30670
1932,"DW Reise","00:00:09","365",7854
1925,"DW Travel","00:00:10","403",19507
1920,"DW Euromaxx (Deutsch)","00:00:30","401",33587
1918,"DW Travel","00:00:08","394",3624
1918,"DW Reise","00:00:10","353",15240
1918,"DW Culture","00:00:32","408",13040
1911,"DW Culture","00:00:43","689",5085
1897,"DW Euromaxx","00:00:26","439",6537
1897,"DW News","00:00:27","536",6059
1892,"DW Euromaxx","00:00:36","2,412",187474
1890,"DW Bundesliga Kick off","00:00:29","430",3606
1890,"DW Euromaxx","00:00:36","2,409",187424
1887,"DW Euromaxx","00:00:36","2,406",187397
1886,"DW Culture","00:00:32","2,338",79546
1884,"DW Euromaxx","00:00:36","2,403",187260
1884,"DW Euromaxx","00:00:36","2,403",187293
1884,"DW Euromaxx","00:00:36","2,403",187348
1882,"DW Euromaxx","00:00:36","2,401",187174
1865,"DW Culture","00:00:32","2,312",78595
1855,"DW Euromaxx","00:00:48","413",7351
1852,"DW Culture","00:00:35","710",54885
