skill_id,c_layer1,c_layer2,c_layer3
955943.0,0,4.0,1
955945.0,0,4.0,0
955948.0,3,0.0,1
955953.0,5,1.0,2
955954.0,2,3.0,2
955957.0,3,2.0,1
955958.0,2,3.0,0
955962.0,2,0.0,0
955965.0,3,3.0,2
955969.0,2,3.0,2
955973.0,2,2.0,1
955974.0,0,1.0,1
955975.0,5,1.0,2
955979.0,0,1.0,1
955980.0,5,1.0,1
955981.0,3,0.0,1
955982.0,5,1.0,2
955984.0,3,1.0,2
955988.0,5,4.0,3
955989.0,5,0.0,0
955991.0,2,2.0,2
955992.0,0,0.0,2
955993.0,3,1.0,4
955994.0,5,4.0,3
956000.0,3,1.0,2
956002.0,3,3.0,2
956003.0,5,5.0,3
956004.0,2,1.0,1
956005.0,5,1.0,1
956006.0,2,2.0,2
956007.0,2,0.0,2
956011.0,11,0.0,
956017.0,2,2.0,2
956022.0,1,0.0,1
956023.0,0,2.0,3
956026.0,5,1.0,1
956028.0,5,1.0,3
956029.0,0,2.0,3
956030.0,5,1.0,0
956034.0,2,4.0,2
956035.0,5,1.0,0
956036.0,0,4.0,2
956041.0,2,4.0,0
956045.0,12,0.0,
956049.0,5,1.0,1
956053.0,3,1.0,1
956054.0,3,2.0,0
956059.0,2,0.0,0
956060.0,0,4.0,0
956061.0,2,2.0,3
956062.0,2,0.0,2
956063.0,1,1.0,2
956064.0,5,1.0,0
956070.0,3,0.0,2
956072.0,5,4.0,2
956073.0,0,2.0,0
956074.0,3,0.0,0
956075.0,2,2.0,2
956076.0,3,1.0,2
956080.0,0,2.0,1
956083.0,5,5.0,3
956085.0,3,1.0,0
956088.0,3,1.0,0
956090.0,3,0.0,2
956093.0,6,3.0,0
956099.0,0,0.0,3
956100.0,1,1.0,3
956102.0,5,0.0,0
956107.0,5,2.0,0
956109.0,0,4.0,2
956111.0,2,1.0,1
956112.0,0,2.0,3
956113.0,3,1.0,1
956117.0,5,1.0,0
956119.0,5,2.0,2
956120.0,2,2.0,0
956122.0,5,1.0,1
956123.0,3,1.0,2
956124.0,5,0.0,4
956125.0,3,1.0,2
956129.0,1,2.0,1
956130.0,3,1.0,0
956131.0,2,4.0,0
956132.0,5,4.0,1
956134.0,2,4.0,0
956136.0,3,2.0,1
956138.0,5,2.0,1
956139.0,5,1.0,3
956143.0,5,1.0,0
956144.0,5,1.0,0
956145.0,5,1.0,0
956150.0,3,1.0,2
956154.0,5,1.0,1
956155.0,1,0.0,0
956160.0,2,2.0,1
956161.0,0,2.0,2
956162.0,3,1.0,0
956166.0,5,5.0,0
956167.0,2,2.0,2
956168.0,3,1.0,1
956172.0,1,1.0,0
956177.0,5,2.0,0
956187.0,0,4.0,1
956190.0,2,2.0,3
956193.0,0,3.0,2
956198.0,3,1.0,3
956200.0,5,2.0,0
956201.0,0,0.0,2
956205.0,5,3.0,0
956206.0,0,2.0,2
956208.0,5,3.0,0
956209.0,0,1.0,0
956210.0,3,1.0,3
956211.0,2,1.0,0
956213.0,1,1.0,3
956216.0,0,3.0,1
956220.0,5,3.0,1
956228.0,5,0.0,3
956229.0,2,1.0,0
956230.0,5,0.0,3
956231.0,13,0.0,
956234.0,3,3.0,1
956235.0,2,2.0,1
956236.0,2,2.0,3
956237.0,5,0.0,2
956238.0,0,2.0,2
956241.0,2,4.0,2
956243.0,2,1.0,1
956245.0,5,1.0,1
956247.0,5,0.0,4
956248.0,3,3.0,0
956251.0,3,3.0,0
956252.0,0,2.0,1
956256.0,3,2.0,0
956258.0,5,1.0,1
956263.0,5,3.0,1
956264.0,0,2.0,2
956269.0,5,1.0,0
956278.0,1,0.0,0
956279.0,3,0.0,0
956281.0,0,4.0,1
956282.0,3,0.0,3
956292.0,3,1.0,0
956293.0,2,0.0,0
956295.0,6,0.0,1
956297.0,3,1.0,0
956299.0,5,0.0,0
956300.0,1,1.0,3
956304.0,3,1.0,0
956308.0,3,0.0,2
956310.0,5,1.0,0
956311.0,3,0.0,2
956313.0,1,2.0,0
956318.0,5,1.0,1
956319.0,2,4.0,0
956322.0,3,1.0,2
956326.0,5,1.0,3
956328.0,0,3.0,2
956331.0,3,1.0,1
956333.0,5,1.0,0
956338.0,2,2.0,2
956339.0,0,2.0,3
956341.0,2,1.0,0
956342.0,2,0.0,2
956343.0,3,3.0,2
956345.0,2,1.0,0
956346.0,5,1.0,1
956349.0,0,0.0,2
956350.0,0,2.0,1
956351.0,5,5.0,3
956354.0,3,0.0,3
956361.0,1,2.0,0
956362.0,2,0.0,1
956363.0,3,3.0,2
956367.0,1,1.0,3
956369.0,0,2.0,0
956370.0,3,1.0,2
956372.0,0,3.0,0
956375.0,1,0.0,1
